cases,gamma
72.00,0.34
66.00,0.20
50.00,0.87
77.00,0.35
80.00,0.30
59.00,0.88
76.00,0.27
57.00,0.59
52.00,0.88
101.00,0.33
96.00,0.26
87.00,0.37
64.00,0.60
67.00,0.53
66.00,0.27
84.00,0.41
33.00,1.00
98.00,0.36
40.00,0.62
35.00,0.73
84.00,0.36
68.00,0.49
76.00,0.47
78.00,0.50
105.00,0.22
54.00,0.56
71.00,0.18
106.00,0.47
45.00,0.96
72.00,0.78
74.00,0.69
80.00,0.39
109.00,0.49
51.00,0.99
44.00,0.20
39.00,0.78
96.00,0.38
81.00,0.34
47.00,0.33
69.00,0.22
64.00,0.26
80.00,0.45
95.00,0.58
77.00,0.53
49.00,0.80
73.00,0.68
51.00,0.41
107.00,0.35
33.00,0.95
43.00,0.93
40.00,0.92
86.00,0.61
76.00,0.47
67.00,0.24
49.00,0.79
120.00,0.17
51.00,0.78
44.00,0.76
93.00,0.40
54.00,0.30
73.00,0.68
65.00,0.64
99.00,0.55
98.00,0.53
84.00,0.47
91.00,0.41
61.00,0.34
71.00,0.55
85.00,0.71
51.00,0.76
61.00,0.79
63.00,0.51
49.00,0.91
90.00,0.22
66.00,0.20
54.00,0.95
79.00,0.61
81.00,0.55
96.00,0.59
40.00,0.84
85.00,0.48
81.00,0.56
105.00,0.41
52.00,0.84
55.00,0.19
44.00,0.47
75.00,0.80
71.00,0.51
61.00,0.80
81.00,0.40
112.00,0.27
77.00,0.22
42.00,0.67
85.00,0.50
48.00,0.86
86.00,0.49
80.00,0.26
52.00,0.75
49.00,0.77
73.00,0.45
59.00,0.85
40.00,1.00
81.00,0.50
84.00,0.55
92.00,0.53
97.00,0.35
88.00,0.38
100.00,0.62
57.00,0.61
44.00,0.71
46.00,0.99
54.00,0.88
57.00,0.18
61.00,0.80
47.00,0.45
58.00,0.63
94.00,0.26
85.00,0.25
81.00,0.21
87.00,0.36
44.00,0.86
69.00,0.67
80.00,0.45
53.00,0.81
62.00,0.54
42.00,0.77
74.00,0.46
47.00,0.97
61.00,0.31
78.00,0.37
108.00,0.25
53.00,0.83
62.00,0.24
70.00,0.53
65.00,0.23
83.00,0.44
79.00,0.31
79.00,0.39
52.00,0.97
71.00,0.55
54.00,0.60
83.00,0.53
50.00,0.79
63.00,0.93
42.00,0.92
92.00,0.44
31.00,0.87
93.00,0.54
116.00,0.39
62.00,0.63
38.00,0.98
57.00,0.93
44.00,0.89
81.00,0.47
57.00,0.52
48.00,0.71
72.00,0.60
74.00,0.86
89.00,0.32
56.00,0.93
60.00,0.94
80.00,0.21
29.00,0.95
79.00,0.75
61.00,0.71
87.00,0.37
75.00,0.39
74.00,0.24
83.00,0.43
76.00,0.41
55.00,0.31
69.00,0.59
53.00,0.50
57.00,0.70
82.00,0.64
101.00,0.39
41.00,0.78
60.00,0.96
40.00,0.98
40.00,0.64
102.00,0.63
80.00,0.59
37.00,0.98
36.00,0.94
93.00,0.24
55.00,0.54
63.00,0.87
74.00,0.61
65.00,0.18
85.00,0.21
73.00,0.64
71.00,0.72
50.00,0.94
68.00,0.30
97.00,0.30
44.00,0.89
78.00,0.28
59.00,0.50
52.00,0.86
72.00,0.70
85.00,0.60
91.00,0.26
75.00,0.45
82.00,0.61
73.00,0.25
89.00,0.20
38.00,0.93
48.00,0.74
81.00,0.47
68.00,0.88
54.00,0.73
34.00,0.95
80.00,0.64
55.00,0.92
109.00,0.19
67.00,0.46
48.00,0.83
75.00,0.33
89.00,0.51
79.00,0.66
74.00,0.54
49.00,0.88
67.00,0.48
57.00,0.50
62.00,0.60
89.00,0.43
114.00,0.17
47.00,0.82
51.00,0.48
57.00,0.79
54.00,0.83
50.00,0.82
47.00,0.94
42.00,0.71
82.00,0.86
117.00,0.51
77.00,0.78
86.00,0.30
46.00,0.70
89.00,0.25
56.00,0.86
76.00,0.56
69.00,0.73
56.00,0.90
80.00,0.44
52.00,0.70
85.00,0.25
72.00,0.70
92.00,0.21
72.00,0.23
49.00,0.56
72.00,0.57
38.00,0.95
62.00,0.70
102.00,0.44
63.00,0.56
41.00,0.90
57.00,0.72
53.00,0.91
57.00,0.71
50.00,0.94
61.00,0.53
97.00,0.48
90.00,0.42
32.00,0.61
64.00,0.70
66.00,0.33
39.00,0.98
67.00,0.50
67.00,0.77
101.00,0.54
104.00,0.41
78.00,0.65
87.00,0.17
57.00,0.88
121.00,0.22
50.00,0.39
59.00,0.26
91.00,0.48
71.00,0.24
98.00,0.59
60.00,0.33
77.00,0.30
99.00,0.51
89.00,0.55
95.00,0.33
65.00,0.65
47.00,0.97
66.00,0.36
66.00,0.77
78.00,0.51
40.00,0.94
62.00,0.25
121.00,0.17
94.00,0.70
88.00,0.28
56.00,0.72
85.00,0.32
75.00,0.32
91.00,0.28
89.00,0.44
45.00,0.79
79.00,0.35
53.00,0.81
67.00,0.22
43.00,0.84
78.00,0.43
80.00,0.67
108.00,0.39
31.00,0.94
57.00,0.73
45.00,0.71
63.00,0.80
106.00,0.68
47.00,0.90
85.00,0.66
75.00,0.70
78.00,0.62
46.00,0.56
89.00,0.45
118.00,0.54
118.00,0.19
72.00,0.54
73.00,0.20
68.00,0.29
83.00,0.57
42.00,0.85
50.00,0.86
55.00,0.73
71.00,0.46
90.00,0.43
68.00,0.46
65.00,0.21
55.00,0.83
79.00,0.17
79.00,0.70
45.00,0.77
68.00,0.39
74.00,0.62
40.00,0.92
70.00,0.17
62.00,0.86
52.00,0.99
54.00,0.76
58.00,0.62
104.00,0.34
89.00,0.29
107.00,0.20
87.00,0.50
55.00,0.52
52.00,0.88
89.00,0.68
73.00,0.50
80.00,0.34
78.00,0.47
82.00,0.21
66.00,0.74
85.00,0.34
76.00,0.36
100.00,0.23
69.00,0.33
38.00,0.73
73.00,0.93
81.00,0.45
77.00,0.80
44.00,0.94
37.00,0.89
96.00,0.18
63.00,0.79
57.00,0.66
61.00,0.58
91.00,0.38
78.00,0.62
85.00,0.26
119.00,0.45
81.00,0.51
58.00,0.65
67.00,0.48
74.00,0.65
90.00,0.65
55.00,0.87
79.00,0.26
56.00,0.93
79.00,0.49
95.00,0.35
62.00,0.76
89.00,0.61
83.00,0.40
49.00,0.66
64.00,0.22
79.00,0.42
112.00,0.31
43.00,0.97
92.00,0.43
82.00,0.24
66.00,0.60
47.00,0.17
93.00,0.20
98.00,0.39
64.00,0.74
55.00,0.75
53.00,0.87
80.00,0.40
39.00,0.72
77.00,0.79
77.00,0.42
67.00,0.78
52.00,0.85
41.00,0.63
80.00,0.57
54.00,0.88
56.00,0.61
54.00,0.82
74.00,0.50
84.00,0.76
64.00,0.49
88.00,0.26
80.00,0.63
81.00,0.28
86.00,0.49
65.00,0.63
84.00,0.18
63.00,0.53
77.00,0.45
94.00,0.29
84.00,0.20
73.00,0.78
54.00,0.72
83.00,0.23
64.00,0.89
70.00,0.26
93.00,0.42
45.00,0.95
84.00,0.45
58.00,0.85
69.00,0.40
73.00,0.50
93.00,0.49
64.00,0.32
90.00,0.42
42.00,0.98
54.00,0.47
54.00,0.87
58.00,0.90
104.00,0.23
52.00,0.53
84.00,0.58
50.00,0.36
62.00,0.74
70.00,0.25
84.00,0.57
68.00,0.58
63.00,0.64
88.00,0.28
77.00,0.21
43.00,0.87
80.00,0.18
50.00,0.59
94.00,0.49
78.00,0.73
77.00,0.32
74.00,0.31
55.00,0.54
55.00,0.82
101.00,0.37
29.00,0.95
67.00,0.62
70.00,0.67
40.00,0.91
52.00,0.60
37.00,1.00
36.00,0.90
40.00,0.97
58.00,0.27
76.00,0.62
48.00,0.31
107.00,0.30
42.00,0.37
77.00,0.39
55.00,0.77
74.00,0.39
50.00,0.44
103.00,0.41
84.00,0.51
52.00,0.74
63.00,0.81
40.00,0.91
75.00,0.77
72.00,0.37
60.00,0.80
53.00,0.77
48.00,0.88
83.00,0.26
85.00,0.55
55.00,0.36
56.00,0.25
45.00,0.77
73.00,0.59
53.00,0.43
65.00,0.72
58.00,0.47
97.00,0.46
98.00,0.54
64.00,0.19
34.00,0.96
78.00,0.60
77.00,0.54
62.00,0.74
77.00,0.19
91.00,0.41
38.00,0.92
115.00,0.24
45.00,0.95
93.00,0.30
55.00,0.66
65.00,0.39
57.00,0.91
73.00,0.49
108.00,0.23
63.00,0.68
84.00,0.52
82.00,0.32
86.00,0.64
77.00,0.61
66.00,0.40
93.00,0.60
74.00,0.44
70.00,0.58
68.00,0.30
90.00,0.40
85.00,0.24
53.00,0.86
65.00,0.71
86.00,0.18
84.00,0.26
71.00,0.56
61.00,0.40
91.00,0.53
96.00,0.61
91.00,0.26
57.00,0.84
63.00,0.58
53.00,0.54
55.00,0.77
55.00,0.48
63.00,0.85
90.00,0.81
68.00,0.76
65.00,0.78
77.00,0.18
101.00,0.34
70.00,0.76
55.00,0.78
74.00,0.30
84.00,0.45
42.00,1.00
66.00,0.77
43.00,0.96
63.00,0.58
87.00,0.46
53.00,0.49
48.00,0.99
44.00,0.82
66.00,0.66
77.00,0.46
100.00,0.43
80.00,0.61
65.00,0.38
108.00,0.18
80.00,0.55
90.00,0.27
112.00,0.30
62.00,0.63
89.00,0.40
40.00,0.96
73.00,0.57
90.00,0.38
65.00,0.61
68.00,0.60
79.00,0.22
77.00,0.73
75.00,0.62
43.00,0.96
99.00,0.52
73.00,0.74
49.00,0.86
94.00,0.23
90.00,0.22
41.00,0.93
65.00,0.88
33.00,0.94
60.00,0.84
75.00,0.75
51.00,0.88
81.00,0.37
99.00,0.19
43.00,0.85
57.00,0.76
89.00,0.34
82.00,0.49
64.00,0.35
90.00,0.61
48.00,0.75
80.00,0.42
52.00,0.69
69.00,0.63
73.00,0.54
74.00,0.75
76.00,0.72
105.00,0.22
51.00,0.79
80.00,0.72
53.00,0.86
74.00,0.73
60.00,0.88
62.00,0.69
67.00,0.25
40.00,0.94
75.00,0.51
59.00,0.77
74.00,0.57
54.00,0.82
80.00,0.49
75.00,0.42
65.00,0.66
67.00,0.76
61.00,0.70
45.00,0.60
56.00,0.45
57.00,0.45
69.00,0.87
73.00,0.85
72.00,0.35
74.00,0.94
95.00,0.32
55.00,0.65
81.00,0.49
105.00,0.26
60.00,0.32
43.00,0.88
72.00,0.41
46.00,0.93
58.00,0.89
53.00,0.61
48.00,0.51
80.00,0.74
92.00,0.36
86.00,0.47
31.00,0.92
72.00,0.41
64.00,0.65
92.00,0.29
55.00,0.86
103.00,0.17
87.00,0.26
83.00,0.65
58.00,0.52
65.00,0.59
75.00,0.66
60.00,0.57
42.00,0.74
100.00,0.41
83.00,0.39
38.00,0.91
31.00,0.89
82.00,0.32
84.00,0.45
78.00,0.68
87.00,0.19
65.00,0.81
72.00,0.50
70.00,0.32
70.00,0.56
59.00,0.77
92.00,0.27
116.00,0.42
59.00,0.95
48.00,0.94
62.00,0.36
62.00,0.96
87.00,0.53
66.00,0.27
79.00,0.83
67.00,0.27
91.00,0.54
52.00,0.94
55.00,0.65
104.00,0.32
51.00,0.96
52.00,0.69
38.00,0.83
62.00,0.43
48.00,0.82
82.00,0.81
67.00,0.68
65.00,0.89
77.00,0.57
58.00,0.78
82.00,0.40
84.00,0.19
61.00,0.86
40.00,0.53
71.00,0.82
74.00,0.70
83.00,0.50
71.00,0.61
53.00,0.84
53.00,0.71
63.00,0.54
52.00,0.74
53.00,0.90
53.00,0.92
91.00,0.57
94.00,0.29
76.00,0.53
51.00,0.78
70.00,0.42
55.00,0.21
96.00,0.37
39.00,0.95
98.00,0.33
54.00,0.54
58.00,0.85
29.00,0.91
75.00,0.47
120.00,0.22
63.00,0.80
56.00,0.79
73.00,0.42
94.00,0.20
80.00,0.48
87.00,0.79
109.00,0.18
75.00,0.41
32.00,0.87
71.00,0.43
82.00,0.57
68.00,0.27
80.00,0.25
50.00,0.82
52.00,0.50
87.00,0.63
63.00,0.54
102.00,0.31
83.00,0.31
51.00,0.89
65.00,0.91
113.00,0.18
99.00,0.63
54.00,0.57
93.00,0.30
41.00,0.88
44.00,0.97
92.00,0.20
70.00,0.60
77.00,0.72
87.00,0.48
117.00,0.29
89.00,0.32
60.00,0.56
70.00,0.70
79.00,0.56
58.00,0.23
88.00,0.40
70.00,0.40
72.00,0.29
49.00,0.84
81.00,0.47
87.00,0.53
71.00,0.85
72.00,0.19
56.00,0.45
89.00,0.54
74.00,0.42
35.00,1.00
26.00,0.95
61.00,0.79
103.00,0.35
71.00,0.63
66.00,0.63
40.00,0.88
60.00,0.79
117.00,0.21
61.00,0.75
74.00,0.47
60.00,0.88
84.00,0.45
58.00,0.40
78.00,0.44
64.00,0.90
62.00,0.84
72.00,0.41
55.00,0.86
45.00,0.72
48.00,0.73
71.00,0.47
62.00,0.79
74.00,0.51
60.00,0.34
44.00,0.86
85.00,0.48
69.00,0.61
28.00,0.97
94.00,0.29
47.00,0.88
80.00,0.45
61.00,0.70
51.00,0.80
71.00,0.64
56.00,0.62
82.00,0.67
56.00,0.83
73.00,0.23
62.00,0.25
73.00,0.85
47.00,0.83
71.00,0.18
55.00,0.94
85.00,0.65
97.00,0.68
96.00,0.52
57.00,0.91
61.00,0.87
75.00,0.66
106.00,0.19
51.00,0.83
44.00,1.00
50.00,0.79
89.00,0.27
35.00,1.00
61.00,0.64
68.00,0.58
90.00,0.42
58.00,0.68
70.00,0.78
33.00,0.99
94.00,0.59
66.00,0.25
101.00,0.33
78.00,0.61
64.00,0.88
80.00,0.53
29.00,0.97
37.00,0.98
80.00,0.26
59.00,0.88
87.00,0.54
72.00,0.33
106.00,0.46
47.00,0.89
80.00,0.63
91.00,0.26
47.00,0.90
88.00,0.59
28.00,0.98
104.00,0.22
65.00,0.61
80.00,0.18
68.00,0.82
62.00,0.55
69.00,0.51
39.00,0.63
118.00,0.40
105.00,0.45
113.00,0.20
81.00,0.67
55.00,0.91
47.00,0.44
93.00,0.50
40.00,0.99
80.00,0.35
43.00,0.82
97.00,0.25
55.00,0.76
83.00,0.37
101.00,0.31
40.00,0.92
93.00,0.21
29.00,0.95
27.00,0.91
72.00,0.64
111.00,0.33
98.00,0.28
73.00,0.32
47.00,0.91
68.00,0.83
88.00,0.39
78.00,0.44
85.00,0.27
59.00,0.62
54.00,0.72
54.00,0.74
61.00,0.47
70.00,0.26
36.00,0.98
78.00,0.55
81.00,0.19
60.00,0.90
65.00,0.31
70.00,0.70
78.00,0.65
71.00,0.50
43.00,0.95
70.00,0.75
48.00,0.68
61.00,0.78
50.00,0.89
79.00,0.22
37.00,0.74
45.00,0.39
107.00,0.22
82.00,0.34
98.00,0.40
64.00,0.38
44.00,0.75
88.00,0.23
81.00,0.30
67.00,0.54
90.00,0.37
45.00,0.85
43.00,0.98
75.00,0.59
67.00,0.21
66.00,0.71
87.00,0.47
85.00,0.23
90.00,0.42
63.00,0.40
54.00,0.91
78.00,0.27
51.00,0.81
97.00,0.51
59.00,0.79
55.00,0.78
84.00,0.63
53.00,0.75
73.00,0.56
99.00,0.36
78.00,0.26
75.00,0.43
53.00,0.80
52.00,0.89
48.00,0.88
41.00,0.84
93.00,0.17
60.00,0.39
85.00,0.21
67.00,0.60
70.00,0.35
74.00,0.42
61.00,0.47
89.00,0.49
73.00,0.22
85.00,0.68
78.00,0.58
97.00,0.57
108.00,0.21
36.00,0.98
65.00,0.30
72.00,0.62
57.00,0.62
85.00,0.23
77.00,0.48
51.00,0.94
65.00,0.86
95.00,0.28
69.00,0.89
99.00,0.43
40.00,0.84
56.00,0.80
58.00,0.74
50.00,0.91
66.00,0.48
77.00,0.35
39.00,0.92
64.00,0.67
77.00,0.40
73.00,0.50
44.00,0.67
74.00,0.27
70.00,0.74
49.00,0.99
32.00,0.86
75.00,0.54
68.00,0.58
54.00,0.34
43.00,0.92
75.00,0.58
48.00,0.95
89.00,0.67
89.00,0.43
67.00,0.42
25.00,0.98
57.00,0.83
68.00,0.70
73.00,0.32
85.00,0.50
81.00,0.40
100.00,0.41
56.00,0.84
52.00,0.78
55.00,0.63
54.00,0.98
84.00,0.21
119.00,0.24
62.00,0.68
80.00,0.63
63.00,0.75
72.00,0.86
88.00,0.18
61.00,0.41
51.00,0.94
64.00,0.26
68.00,0.47
47.00,0.77
75.00,0.81
65.00,0.29
51.00,0.88
80.00,0.46
83.00,0.55
88.00,0.70
89.00,0.22
36.00,0.83
73.00,0.28
69.00,0.71
53.00,0.51
50.00,0.80
62.00,0.53
103.00,0.30
62.00,0.90
57.00,0.64
35.00,0.97
54.00,0.68
115.00,0.29
73.00,0.59
85.00,0.25
57.00,0.88
49.00,0.82
51.00,0.83
88.00,0.20
75.00,0.69
53.00,0.98
64.00,0.83
58.00,0.81
102.00,0.40
36.00,0.96
76.00,0.67
85.00,0.25
66.00,0.56
82.00,0.50
87.00,0.18
61.00,0.79
50.00,0.87
115.00,0.32
37.00,0.76
83.00,0.62
53.00,0.97
69.00,0.63
57.00,0.62
59.00,0.79
97.00,0.39
61.00,0.42
45.00,0.63
62.00,0.29
40.00,1.00
51.00,0.76
65.00,0.86
65.00,0.95
51.00,0.81
79.00,0.78
68.00,0.70
73.00,0.54
51.00,0.96
85.00,0.29
70.00,0.76
38.00,0.90
80.00,0.69
77.00,0.37
100.00,0.51
85.00,0.18
107.00,0.20
94.00,0.46
74.00,0.67
81.00,0.75
72.00,0.36
91.00,0.35
59.00,0.33
56.00,0.64
63.00,0.89
75.00,0.27
93.00,0.31
77.00,0.66
52.00,0.86
81.00,0.32
77.00,0.24
81.00,0.26
61.00,0.61
53.00,0.84
72.00,0.20
51.00,0.94
64.00,0.80
57.00,0.61
58.00,0.78
55.00,0.74
73.00,0.31
62.00,0.33
44.00,0.98
61.00,0.82
70.00,0.53
66.00,0.19
60.00,0.97
47.00,0.79
75.00,0.62
75.00,0.22
63.00,0.46
42.00,0.85
86.00,0.31
88.00,0.39
66.00,0.59
76.00,0.77
44.00,0.23
90.00,0.84
97.00,0.35
70.00,0.94
56.00,0.79
46.00,0.58
102.00,0.33
62.00,0.87
83.00,0.31
68.00,0.28
57.00,0.92
78.00,0.62
68.00,0.53
54.00,0.87
85.00,0.56
63.00,0.84
62.00,0.38
77.00,0.43
62.00,0.67
59.00,0.61
70.00,0.57
63.00,0.83
44.00,0.84
55.00,0.96
71.00,0.41
93.00,0.42
53.00,0.94
61.00,0.61
75.00,0.20
54.00,0.22
96.00,0.24
119.00,0.32
80.00,0.58
84.00,0.23
69.00,0.74
63.00,0.84
81.00,0.32
54.00,0.76
43.00,0.70
53.00,0.71
58.00,0.82
87.00,0.20
83.00,0.61
49.00,0.75
44.00,0.90
81.00,0.69
79.00,0.65
65.00,0.57
92.00,0.41
75.00,0.41
70.00,0.72
43.00,0.55
66.00,0.44
63.00,0.48
50.00,0.67
106.00,0.34
78.00,0.70
77.00,0.71
65.00,0.56
84.00,0.23
83.00,0.19
32.00,0.94
29.00,0.94
71.00,0.84
77.00,0.61
81.00,0.22
62.00,0.22
86.00,0.50
75.00,0.31
58.00,0.79
59.00,0.61
49.00,0.80
81.00,0.19
52.00,0.95
55.00,0.90
47.00,0.24
41.00,0.86
87.00,0.56
71.00,0.74
92.00,0.38
87.00,0.42
43.00,1.00
68.00,0.50
49.00,0.95
80.00,0.28
56.00,0.83
44.00,0.88
50.00,0.95
111.00,0.38
98.00,0.27
67.00,0.60
38.00,0.82
60.00,0.29
50.00,0.92
96.00,0.23
81.00,0.30
52.00,0.60
72.00,0.64
43.00,0.79
66.00,0.40
43.00,0.84
71.00,0.60
41.00,0.88
82.00,0.49
64.00,0.71
86.00,0.32
81.00,0.32
50.00,0.94
90.00,0.38
87.00,0.61
70.00,0.82
62.00,0.55
72.00,0.43
55.00,0.78
54.00,0.61
81.00,0.28
50.00,0.92
49.00,0.81
73.00,0.46
52.00,0.97
97.00,0.47
88.00,0.29
88.00,0.53
81.00,0.67
76.00,0.64
60.00,0.75
79.00,0.52
30.00,0.95
60.00,0.53
102.00,0.35
88.00,0.25
76.00,0.48
76.00,0.81
47.00,0.86
38.00,0.97
60.00,0.82
87.00,0.65
91.00,0.47
83.00,0.41
32.00,0.95
45.00,0.98
90.00,0.76
112.00,0.45
103.00,0.18
103.00,0.40
64.00,0.42
65.00,0.43
85.00,0.71
109.00,0.40
69.00,0.67
81.00,0.73
72.00,0.60
59.00,0.70
102.00,0.27
54.00,0.89
61.00,0.71
76.00,0.65
89.00,0.18
82.00,0.78
91.00,0.25
67.00,0.36
38.00,0.98
93.00,0.50
63.00,0.73
73.00,0.25
107.00,0.53
77.00,0.34
67.00,0.68
83.00,0.39
71.00,0.60
96.00,0.41
53.00,0.88
59.00,0.58
78.00,0.25
78.00,0.42
88.00,0.58
102.00,0.33
57.00,0.44
64.00,0.80
102.00,0.25
54.00,0.77
92.00,0.24
68.00,0.79
52.00,0.89
78.00,0.70
81.00,0.18
38.00,0.98
103.00,0.55
46.00,0.92
81.00,0.29
52.00,0.85
77.00,0.17
104.00,0.68
92.00,0.41
35.00,0.98
57.00,0.55
84.00,0.38
67.00,0.47
80.00,0.75
44.00,0.67
73.00,0.64
38.00,0.92
62.00,0.66
53.00,0.73
52.00,0.24
72.00,0.53
79.00,0.51
62.00,0.84
94.00,0.49
87.00,0.59
56.00,0.53
78.00,0.29
99.00,0.18
51.00,0.36
72.00,0.40
31.00,0.88
71.00,0.72
72.00,0.81
98.00,0.31
77.00,0.41
62.00,0.70
118.00,0.25
47.00,0.86
67.00,0.57
77.00,0.74
57.00,0.76
40.00,0.96
53.00,0.98
71.00,0.48
42.00,0.96
62.00,0.74
33.00,0.95
67.00,0.47
102.00,0.18
77.00,0.73
61.00,0.62
74.00,0.55
52.00,0.95
75.00,0.52
100.00,0.28
48.00,0.94
68.00,0.82
107.00,0.25
40.00,0.90
92.00,0.27
78.00,0.29
89.00,0.49
56.00,0.85
34.00,0.97
95.00,0.48
78.00,0.50
41.00,0.98
39.00,0.91
85.00,0.46
61.00,0.80
70.00,0.57
78.00,0.45
74.00,0.69
97.00,0.48
36.00,0.92
53.00,0.40
42.00,0.97
48.00,0.85
35.00,0.99
94.00,0.37
57.00,0.29
45.00,0.95
75.00,0.55
57.00,0.64
97.00,0.50
45.00,0.72
61.00,0.86
66.00,0.39
61.00,0.63
90.00,0.60
58.00,0.68
58.00,0.76
53.00,0.56
84.00,0.39
69.00,0.37
58.00,0.52
57.00,0.91
54.00,0.38
68.00,0.66
75.00,0.33
79.00,0.37
63.00,0.42
84.00,0.57
93.00,0.17
65.00,0.45
57.00,0.71
63.00,0.46
61.00,0.62
63.00,0.33
80.00,0.53
50.00,0.68
111.00,0.34
95.00,0.38
56.00,0.19
55.00,0.98
107.00,0.26
50.00,0.89
77.00,0.73
64.00,0.60
48.00,0.93
109.00,0.23
54.00,0.80
81.00,0.52
40.00,0.99
48.00,0.56
86.00,0.76
48.00,0.88
55.00,0.81
26.00,0.99
56.00,0.94
43.00,0.78
63.00,0.41
66.00,0.71
53.00,0.69
88.00,0.55
60.00,0.25
44.00,0.79
60.00,0.66
32.00,0.99
56.00,0.80
55.00,0.91
40.00,0.81
41.00,0.79
78.00,0.48
56.00,0.38
71.00,0.19
49.00,0.88
98.00,0.52
50.00,0.85
53.00,0.77
77.00,0.56
73.00,0.48
57.00,0.80
89.00,0.58
58.00,0.89
37.00,1.00
86.00,0.52
86.00,0.42
43.00,0.73
62.00,0.60
90.00,0.19
52.00,0.58
74.00,0.53
69.00,0.46
62.00,0.46
71.00,0.28
60.00,0.52
47.00,0.63
51.00,0.61
58.00,0.91
72.00,0.22
36.00,0.62
61.00,0.52
50.00,0.93
54.00,0.95
57.00,0.29
80.00,0.68
86.00,0.32
78.00,0.75
74.00,0.55
52.00,0.75
67.00,0.66
49.00,0.99
68.00,0.64
54.00,0.83
101.00,0.58
68.00,0.40
79.00,0.42
75.00,0.49
53.00,0.65
54.00,0.74
70.00,0.20
99.00,0.35
49.00,0.95
80.00,0.25
79.00,0.63
56.00,0.18
78.00,0.53
76.00,0.27
53.00,0.72
66.00,0.38
59.00,0.59
42.00,0.99
69.00,0.75
67.00,0.33
78.00,0.18
67.00,0.65
58.00,0.66
33.00,0.92
76.00,0.42
86.00,0.78
88.00,0.61
52.00,0.73
110.00,0.19
64.00,0.65
92.00,0.48
80.00,0.49
81.00,0.63
59.00,0.34
66.00,0.85
59.00,0.89
78.00,0.20
112.00,0.27
78.00,0.66
44.00,0.99
33.00,0.95
75.00,0.78
53.00,0.68
70.00,0.59
105.00,0.53
45.00,0.78
58.00,0.29
56.00,0.65
76.00,0.74
58.00,0.88
67.00,0.76
53.00,0.82
109.00,0.30
95.00,0.41
91.00,0.49
64.00,0.66
39.00,0.91
77.00,0.36
81.00,0.34
68.00,0.54
84.00,0.17
99.00,0.26
46.00,0.84
73.00,0.58
104.00,0.39
71.00,0.37
95.00,0.29
68.00,0.27
102.00,0.30
46.00,0.71
59.00,0.65
52.00,0.87
86.00,0.19
59.00,0.66
101.00,0.26
101.00,0.29
68.00,0.49
79.00,0.19
80.00,0.23
56.00,0.58
56.00,0.86
64.00,0.61
104.00,0.48
46.00,0.66
38.00,0.85
69.00,0.71
67.00,0.33
69.00,0.81
48.00,0.86
58.00,0.49
67.00,0.21
77.00,0.38
77.00,0.76
36.00,0.93
96.00,0.40
72.00,0.53
96.00,0.42
43.00,0.93
42.00,0.91
73.00,0.18
65.00,0.40
83.00,0.72
70.00,0.62
70.00,0.47
56.00,0.46
53.00,0.88
68.00,0.63
38.00,0.59
79.00,0.25
89.00,0.38
107.00,0.26
96.00,0.19
82.00,0.60
85.00,0.22
75.00,0.86
85.00,0.62
77.00,0.27
39.00,0.96
92.00,0.59
32.00,0.99
69.00,0.57
55.00,0.43
73.00,0.49
55.00,0.57
111.00,0.32
58.00,0.80
87.00,0.50
88.00,0.72
87.00,0.31
85.00,0.66
71.00,0.79
99.00,0.30
60.00,0.74
65.00,0.26
86.00,0.30
45.00,0.63
60.00,0.70
69.00,0.68
71.00,0.26
78.00,0.62
81.00,0.35
61.00,0.54
45.00,0.88
103.00,0.42
73.00,0.27
78.00,0.52
50.00,0.77
68.00,0.57
86.00,0.49
91.00,0.60
40.00,1.00
42.00,0.97
41.00,0.80
39.00,0.87
58.00,0.37
92.00,0.21
95.00,0.17
73.00,0.25
117.00,0.36
56.00,0.75
85.00,0.46
58.00,0.61
62.00,0.57
65.00,0.72
118.00,0.39
93.00,0.45
91.00,0.34
83.00,0.71
61.00,0.67
79.00,0.34
106.00,0.74
62.00,0.88
100.00,0.39
38.00,0.83
48.00,0.74
44.00,0.91
48.00,0.41
63.00,0.48
20.00,0.89
64.00,0.46
30.00,0.87
77.00,0.50
75.00,0.52
107.00,0.19
79.00,0.49
95.00,0.50
80.00,0.71
95.00,0.22
42.00,0.99
104.00,0.44
47.00,0.93
85.00,0.66
79.00,0.72
101.00,0.74
93.00,0.60
43.00,0.74
94.00,0.29
70.00,0.74
59.00,0.71
63.00,0.40
67.00,0.63
79.00,0.68
91.00,0.47
73.00,0.21
77.00,0.65
80.00,0.53
42.00,0.91
43.00,0.75
44.00,0.87
81.00,0.59
76.00,0.49
81.00,0.49
44.00,0.75
83.00,0.28
72.00,0.60
86.00,0.28
99.00,0.31
76.00,0.79
51.00,0.60
74.00,0.33
81.00,0.51
56.00,0.92
60.00,0.97
109.00,0.64
72.00,0.49
63.00,0.66
78.00,0.51
65.00,0.61
88.00,0.70
59.00,0.72
53.00,0.87
53.00,0.78
81.00,0.35
57.00,0.68
95.00,0.27
63.00,0.60
58.00,0.18
47.00,0.62
84.00,0.39
99.00,0.39
77.00,0.66
62.00,0.52
80.00,0.52
56.00,0.51
102.00,0.22
42.00,0.89
60.00,0.60
77.00,0.55
43.00,0.73
107.00,0.57
60.00,0.78
83.00,0.47
90.00,0.38
61.00,0.60
82.00,0.32
61.00,0.17
75.00,0.70
38.00,0.96
85.00,0.63
