cases,gamma
49.00,0.78
76.00,0.31
54.00,0.34
69.00,0.62
87.00,0.46
86.00,0.23
51.00,0.63
73.00,0.50
83.00,0.35
50.00,0.85
88.00,0.20
72.00,0.51
31.00,0.80
66.00,0.89
76.00,0.67
45.00,0.33
32.00,0.97
56.00,0.78
73.00,0.25
72.00,0.72
49.00,0.77
92.00,0.41
38.00,0.82
47.00,0.74
54.00,0.72
57.00,0.71
98.00,0.32
45.00,0.87
36.00,0.94
112.00,0.47
70.00,0.59
68.00,0.31
74.00,0.37
73.00,0.62
73.00,0.65
114.00,0.28
75.00,0.47
84.00,0.35
114.00,0.45
67.00,0.93
125.00,0.33
65.00,0.40
69.00,0.53
83.00,0.66
53.00,0.79
101.00,0.54
102.00,0.24
78.00,0.32
54.00,0.48
61.00,0.24
55.00,0.90
66.00,0.32
49.00,0.72
58.00,0.48
77.00,0.43
59.00,0.69
70.00,0.48
46.00,0.99
84.00,0.35
91.00,0.66
52.00,0.79
85.00,0.32
74.00,0.68
70.00,0.85
72.00,0.43
27.00,0.76
38.00,0.87
71.00,0.60
104.00,0.28
84.00,0.30
58.00,0.78
71.00,0.64
75.00,0.33
40.00,0.88
55.00,0.38
72.00,0.81
101.00,0.29
48.00,0.39
99.00,0.47
59.00,0.80
61.00,0.98
63.00,0.19
84.00,0.29
47.00,0.91
57.00,0.81
116.00,0.38
61.00,0.66
60.00,0.82
53.00,0.90
84.00,0.21
53.00,0.93
69.00,0.71
77.00,0.61
77.00,0.22
52.00,0.95
83.00,0.19
64.00,0.69
49.00,0.98
74.00,0.45
67.00,0.54
53.00,0.65
58.00,0.94
76.00,0.51
44.00,0.71
53.00,0.71
55.00,0.44
51.00,0.30
78.00,0.58
43.00,0.75
71.00,0.64
55.00,0.75
81.00,0.26
70.00,0.69
67.00,0.28
57.00,0.61
50.00,0.59
64.00,0.29
83.00,0.53
76.00,0.28
27.00,0.88
58.00,0.65
66.00,0.75
49.00,0.87
75.00,0.66
67.00,0.70
56.00,0.89
81.00,0.73
41.00,0.40
43.00,0.65
85.00,0.34
72.00,0.67
78.00,0.64
52.00,0.82
44.00,0.87
77.00,0.37
37.00,0.86
70.00,0.88
56.00,0.99
99.00,0.44
88.00,0.64
76.00,0.79
38.00,0.72
73.00,0.39
80.00,0.51
62.00,0.87
42.00,0.93
88.00,0.63
48.00,0.79
91.00,0.45
45.00,0.78
63.00,0.64
79.00,0.65
44.00,0.97
79.00,0.33
91.00,0.28
60.00,0.29
75.00,0.36
76.00,0.28
74.00,0.67
107.00,0.39
65.00,0.86
101.00,0.30
43.00,0.69
37.00,0.90
78.00,0.20
61.00,0.53
79.00,0.50
110.00,0.24
64.00,0.40
67.00,0.81
71.00,0.76
105.00,0.17
68.00,0.35
62.00,0.30
114.00,0.49
86.00,0.71
104.00,0.26
51.00,0.97
67.00,0.54
107.00,0.53
49.00,0.22
51.00,0.68
68.00,0.45
59.00,0.29
85.00,0.47
57.00,0.96
38.00,0.99
90.00,0.43
54.00,0.70
91.00,0.39
73.00,0.20
68.00,0.44
80.00,0.64
105.00,0.17
91.00,0.35
101.00,0.30
41.00,0.83
108.00,0.51
55.00,0.31
91.00,0.63
98.00,0.59
57.00,0.55
40.00,0.96
76.00,0.61
75.00,0.77
96.00,0.37
75.00,0.21
65.00,0.93
88.00,0.39
69.00,0.27
92.00,0.76
36.00,0.85
78.00,0.30
78.00,0.64
